component,name,function,apiType,api,version,specVersion,required,resource,method
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC001,ProductCatalogManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC001,ProductCatalogManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC001,ProductCatalogManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC002,ProductOrderCaptureAndValidation,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC005,ProductInventory,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC005,ProductInventory,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC005,ProductInventory,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC006,ServiceCatalogManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC006,ServiceCatalogManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC006,ServiceCatalogManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC007,ServiceOrderManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC007,ServiceOrderManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC007,ServiceOrderManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC008,ServiceInventory,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC008,ServiceInventory,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC008,ServiceInventory,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC009,ServiceQualificationManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC009,ServiceQualificationManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC009,ServiceQualificationManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC010,ResourceCatalogManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC010,ResourceCatalogManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC010,ResourceCatalogManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC011,ResourceOrderManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC011,ResourceOrderManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC011,ResourceOrderManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC012,ResourceInventory,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC012,ResourceInventory,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC012,ResourceInventory,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC014,LocationManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC014,LocationManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC014,LocationManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC020,DigitalIdentityManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC020,DigitalIdentityManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC020,DigitalIdentityManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC022,PartyPrivacyManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC022,PartyPrivacyManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC022,PartyPrivacyManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC023,PartyInteractionManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
TMFC023,PartyInteractionManagement,securityFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC023,PartyInteractionManagement,securityFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,exposedAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,coreFunction,dependentAPIs,unknown,unknown,unknown,false,,
TMFC024,BillingAccountManagement,managementFunction,exposedAPIs,exposedAPI_id,v4.0.0,unknown,false,,
TMFC024,BillingAccountManagement,managementFunction,dependentAPIs,dependentAPI_id,dependentAPI_version,unknown,false,,
