component,componentName,eventType,eventApiId,eventApiName,apiVersion,specVersion,eventName
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,catalogBatchEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,catalogCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,catalogDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,categoryCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,categoryDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingPriceAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingPriceCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingPriceDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingPriceStateChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingStateChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productSpecificationCreate
TMFC001,ProductCatalogManagement,publishedEvents,TMF620,ProductCatalogManagement,v4.0.0,4.0.0,productSpecificationDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF671,PromotionManagement,v4.0.0,4.1.0,promotionAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF671,PromotionManagement,v4.0.0,4.1.0,promotionCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF671,PromotionManagement,v4.0.0,4.1.0,promotionDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF671,PromotionManagement,v4.0.0,4.1.0,promotionInformationRequiredEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF671,PromotionManagement,v4.0.0,4.1.0,promotionStateChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowCreateEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowDeleteEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowInformationRequiredEvent
TMFC001,ProductCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowStateChangeEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF632,Party,v4.0.0,4.0.0,individualDeleteEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF632,Party,v4.0.0,4.0.0,organizationDeleteEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,resourceSpecificationChangeEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,resourceSpecificationCreateEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,resourceSpecificationDeleteEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationAttributeValueChangeEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationCreateEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationDeleteEvent
TMFC001,ProductCatalogManagement,subscribedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationStateChange
TMFC001,ProductCatalogManagement,subscribedEvents,TMF701,PartyRoleManagement,v4.0.0,4.1.0,partyRoleDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,processFlowCreateEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,processFlowStateAttributeValueChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,processFlowStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,processFlowStateDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,quoteAttributeValueChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,quoteCreateEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,quoteDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,quoteInformationRequiredEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,quoteStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,shoppingCartAttributeValueChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,shoppingCartCreateEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,shoppingCartDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,taskFlowAttributeValueChangeEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,taskFlowCreateEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,taskFlowDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,taskFlowInformationRequiredEvent
TMFC002,ProductOrderCaptureAndValidation,publishedEvents,unknown,,unknown,unknown,taskFlowStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,cancelResourceReservationCreateEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,cancelResourceReservationInformationRequiredEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,cancelResourceReservationStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,geographicAddressValidationStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,paymentCreateEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,paymentStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,productOfferingQualificationStateChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,resourceReservationAttributeValueChangeEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,resourceReservationCreateEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,resourceReservationDeleteEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,resourceReservationInformationRequiredEvent
TMFC002,ProductOrderCaptureAndValidation,subscribedEvents,unknown,,unknown,unknown,resourceReservationStateChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,cancelProductOrderCreateEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,cancelProductOrderInformationRequired
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,cancelProductOrderStateChange
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,productOrderAttributeValueChange
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,productOrderCreateEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,productOrderDelete
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,productOrderInformationRequired
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF622,ProductOrder,v4.0.0,4.0.0,productOrderStateChange
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowCreateEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateAttributeValueChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateDeleteEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowAttributeValueChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowCreateEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowDeleteEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowInformationRequiredEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowStateChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,cancelServiceOrderInformationRequiredEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,cancelServiceOrderStateChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,serviceOrderAttributeValueChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,serviceOrderInformationRequiredEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,serviceOrderJeopardyEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,serviceOrderMilestoneEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF641,ServiceOrder,v4.0.0,4.1.0,serviceOrderStateChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF652,ResourceOrder,v4.0.0,4.0.0,cancelResourceOrderInformationRequiredEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF652,ResourceOrder,v4.0.0,4.0.0,cancelResourceOrderStateChange
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF652,ResourceOrder,v4.0.0,4.0.0,resourceOrderAttributeValueChangeEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF652,ResourceOrder,v4.0.0,4.0.0,resourceOrderInformationRequiredEvent
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,subscribedEvents,TMF652,ResourceOrder,v4.0.0,4.0.0,resourceOrderStateChange
TMFC005,ProductInventory,publishedEvents,TMF637,Productinventory,v4.0.0,4.0.0,productAttributeValueChangeEvent
TMFC005,ProductInventory,publishedEvents,TMF637,Productinventory,v4.0.0,4.0.0,productBatchEvent
TMFC005,ProductInventory,publishedEvents,TMF637,Productinventory,v4.0.0,4.0.0,productCreateEvent
TMFC005,ProductInventory,publishedEvents,TMF637,Productinventory,v4.0.0,4.0.0,productDeleteEvent
TMFC005,ProductInventory,publishedEvents,TMF637,Productinventory,v4.0.0,4.0.0,productStateChangeEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowCreateEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateAttributeValueChangeEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateChangeEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateDeleteEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowAttributeValueChangeEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowCreateEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowDeleteEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowInformationRequiredEvent
TMFC005,ProductInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowStateChangeEvent
TMFC005,ProductInventory,subscribedEvents,unknown,AccountManagement,v4.0.0,4.0.0,billingAccountDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,AgreementManagement,v4.0.0,4.0.0,agreementDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,GeographicLocation,v4.0.0,4.0.0,geographicLocationDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,GeographicSiteManagement,v4.0.0,4.0.0,geographicSiteDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,PartyManagement,v4.0.0,4.0.0,individualDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,PartyManagement,v4.0.0,4.0.0,organizationDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,PartyRoleManagement,v4.0.0,4.0.0,partyRoleDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductCatalogManagement,v4.0.0,4.0.0,productOfferingPriceDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductCatalogManagement,v4.0.0,4.0.0,productSpecificationDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductInventoryManagement,v4.0.0,4.0.0,productAttributeValueChangeEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductInventoryManagement,v4.0.0,4.0.0,productCreateEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductInventoryManagement,v4.0.0,4.0.0,productDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductInventoryManagement,v4.0.0,4.0.0,productStateChangeEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ProductOrderingManagement,v4.0.0,4.0.0,productOrderDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ResourceInventoryManagement,v4.0.0,4.0.0,resourceDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,ServiceInventoryManagement,v4.0.0,4.0.0,serviceDeleteEvent
TMFC005,ProductInventory,subscribedEvents,unknown,UserRolePermissionManagement,v4.0.0,4.0.0,permissionDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCandidateChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCandidateCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCandidateDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCatalogBatchEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCatalogChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCatalogCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCatalogDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCategoryChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCategoryCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceCategoryDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF633,ServiceCatalogManagement,v4.0.0,4.0.0,serviceSpecificationDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelObjectiveAttributeValueChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelObjectiveChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelObjectiveCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelSpecificationAttributeValueChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelSpecificationCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF657,ServiceQualityManagement,v4.0.0,4.0.0,serviceLevelSpecificationDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateAttributeValueChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowAttributeValueChangeEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowCreateEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowDeleteEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowInformationRequiredEvent
TMFC006,ServiceCatalogManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowStateChangeEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF634,ResourceCatalogManagement,v4.0.0,4.1.0,resourceSpecificationChangeEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF634,ResourceCatalogManagement,v4.0.0,4.1.0,resourceSpecificationCreateEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF634,ResourceCatalogManagement,v4.0.0,4.1.0,resourceSpecificationDeleteEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF662,EntityCatalogManagement,v4.0.0,4.0.0,entitySpecificationAttributeValueChangeEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF662,EntityCatalogManagement,v4.0.0,4.0.0,entitySpecificationChangeEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF662,EntityCatalogManagement,v4.0.0,4.0.0,entitySpecificationCreateEvent
TMFC006,ServiceCatalogManagement,subscribedEvents,TMF662,EntityCatalogManagement,v4.0.0,4.0.0,entitySpecificationDeleteEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,cancelServiceOrderCreateEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,cancelServiceOrderInformationRequiredEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,cancelServiceOrderStateChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderAttributeValueChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderCreateEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderDeleteEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderInformationRequiredEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderJeopardyEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderMilestoneEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF641,TMF641 Service Ordering Management API,v4.0.0,4.1.0,serviceOrderStateChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,processFlowCreateEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,processFlowStateAttributeValueChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,processFlowStateChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,processFlowStateDeleteEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,taskFlowAttributeValueChangeEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,taskFlowCreateEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,taskFlowDeleteEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,taskFlowInformationRequiredEvent
TMFC007,ServiceOrderManagement,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.0.0,taskFlowStateChangeEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF634,ResourceOrderManagement,v4.0.0,4.1.0,cancelResourceOrderInformationRequiredEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF634,ResourceOrderManagement,v4.0.0,4.1.0,cancelResourceOrderStateChange
TMFC007,ServiceOrderManagement,subscribedEvents,TMF634,ResourceOrderManagement,v4.0.0,4.1.0,resourceOrderAttributeValueChangeEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF634,ResourceOrderManagement,v4.0.0,4.1.0,resourceOrderInformationRequiredEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF634,ResourceOrderManagement,v4.0.0,4.1.0,resourceOrderStateChange
TMFC007,ServiceOrderManagement,subscribedEvents,TMF645,ServiceQualification,v4.0.0,4.0.0,checkServiceQualificationStateChangeEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF645,ServiceQualification,v4.0.0,4.0.0,queryServiceQualificationStateChangeEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF681,Communication,v4.0.0,4.0.0,communicationMessageStateChangeEvent
TMFC007,ServiceOrderManagement,subscribedEvents,TMF697,WorkOrder,v4.0.0,4.0.0,workOrderStateChange
TMFC008,ServiceInventory,publishedEvents,TMF638,ServiceInventoryManagement,v4.0.0,4.0.0,serviceAttributeValueChangeEvent
TMFC008,ServiceInventory,publishedEvents,TMF638,ServiceInventoryManagement,v4.0.0,4.0.0,serviceCreateEvent
TMFC008,ServiceInventory,publishedEvents,TMF638,ServiceInventoryManagement,v4.0.0,4.0.0,serviceDeleteEvent
TMFC008,ServiceInventory,publishedEvents,TMF638,ServiceInventoryManagement,v4.0.0,4.0.0,serviceStateChangeEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowCreateEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateAttributeValueChangeEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateChangeEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,processFlowStateDeleteEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowAttributeValueChangeEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowCreateEvent
TMFC008,ServiceInventory,publishedEvents,TMF701,ProcessFlowManagement,v4.0.0,4.1.0,taskFlowDeleteEvent
