component,name,functionalBlock,functionType,functionList
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Business_Partner_Domain|Party_Product_Specification_and_Offering_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Loyalty_ABE|Loyalty_Program_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Configuration_ABE|ProductConfigSpec_BE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Offering_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,SID,Product_Domain|Product_Usage_ABE|Product_Usage_Specification_ABE|v25.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.1.19.1|Loyalty_Program_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.1.19|Loyalty_Program_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.19|Product_Catalog_Planning_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.20|Product_Catalog_Lifecycle_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.21|Product_Catalog_Operational_Readiness_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.22|Product_Catalog_Content_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.23|Product_Specification_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.7|Product_Specification_&_Offering_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8.7.1|Specify_Required_Product_Capacity|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8.7|Implement_Product_Capacity_Plan|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.2.8|Product_Capacity_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,eTOM,1.6.4|Business_Partner_Offering_Development_&_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1050|Product_Onboarding_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1053|Onboarded_Product_Workflows_Definition|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1076|Product_Specification_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1077|Product_Offering_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1078|Product_Specification_and_Offering_Change_Auditing|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1079|Product_Specification_and_Offering_Repository_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,11|Repository_Entity_Hierarchy_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,123|Product_Catalog_Browsing|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1291|External_Product_Specification_Development|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1292|External_Product_Offering_Development|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1293|Product_Specification_Recalls_Support|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1341|Product_Specification_Change_Notification|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,1342|Product_Specification_Version_Control|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,210|Centralized_Ordering_Rules_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,238|Customer_Loyalty_Rules_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,263|Product_Compatibility_Checking|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,360|Product_Agreement_Specification_Design|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,3|Repository_Entity_Relations_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,407|Product_Modeling_Support|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,408|Product_Retirement|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,415|Product_Strategy_linking|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,416|Product_Propositions_Operations_Planning|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,417|Product_Strategy_to_Proposition_Alignment|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,418|Product_Strategy/Propositions_Creation|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,419|Product_Strategy_performance_reporting|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,4|Repository_Entity_Grouping_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,649|Product_Sourcing_Registration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,650|Partner_Product_Certification|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,651|Product_Onboarding_Support|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,662|Sourcing_Reference_Data_Collection|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,6|Repository_Entity_Data_Model_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,721|Customer_Order_Rules_Configuration|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,722|Order_Rules_Retrieval|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,897|Building_Access_Control|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,900|Authorization_Control_Management|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,992|Entity_Management_Notification|v24.0
TMFC001,ProductCatalogManagement,CoreCommerce,functionalFrameworkFunctions,993|Entity_Management_Reporting|v24.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,SID,Customer_Domain|Customer_Product_Order_ABE|SalesQuote_BE|v25.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,SID,Customer_Domain|Customer_Product_Order_ABE|ShoppingCart_BE|v25.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,eTOM,1.1.9.2|Develop_Sales_Proposal|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,eTOM,1.1.9.5|Negotiate_Sales/Contract|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,eTOM,1.1.9|Selling|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,eTOM,1.3.3.10|Manage_Customer_Order_Placement|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,eTOM,1.3.3|Customer_Order_Handling|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,1063|Sales_Quote_Management|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,120|Customer_Order_Capturing|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,16|Fallout_Automated_Correction|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,176|Customer_Order_Capturing_Access|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,177|Customer_Order_Take-over_Management|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,17|Fallout_Correction_Information_Collection|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,181|Product_Order_Data_Collection|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,18|Fallout_Management_to_Fulfillment_Application_Accessing|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,19|Fallout_Manual_Correction_Queuing|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,204|Customer_Order_Completion|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,20|Fallout_Notification|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,217|Customer_Order_Establishment_Tracking|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,21|Fallout_Orchestration|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,22|Fallout_Reporting|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,236|Customer_Loyalty_Subscription_Management|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,23|Fallout_Dashboard_System_Log-in_Accessing|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,24|Pre-populated_Fallout_Information_Presentation|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,259|External_Call_Center_Access|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,277|Shopping_Cart_Purchasing_Access|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,317|Product_Availability_Area_Checking|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,343|Mass_Transaction_Ordering|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,379|Product_Customization_Offering_Management|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,388|Sales_Order_Reporting|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,756|Fallout_Rule_Based_Error_Correction|v23.0
TMFC002,ProductOrderCaptureAndValidation,CoreCommerce,functionalFrameworkFunctions,934|Sales_Negotiation_Support|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.2.27.2|Manage Product_Order_Fulfilment|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.2.27.3|Manage Product_Order_Delivery|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.2.27.4|Manage Product_Order_Cancellation|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.2.27.5|Manage Product_Order_Management_Reports|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.12.1|Manage_Customer_Order_Delivery|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.12.1|Manage_Customer_Order_Fallout|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.12|Customer_Order_Fulfilment|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.15|Manage_Customer_Order_Completion|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.16|Manage Customer_Order_Management_Reporting|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3.17|Manage_Customer_Order_Closure|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.3.3|Customer_Order_Processing_Management|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.4.5.6|Issue_Service_Order|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.4.5|Service_Configuration_&_Activation|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.5.6.7|Issue_Resource_Order|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.5.6|Resource_Provisioning|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.6.8.1|Issue_Business_Partner|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,eTOM,1.6.8|Business_Partner_Order_Managemenrt|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,1070|Orchestration_Customer_Order_Error_Resolution|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,1202|Delivery_Items_Identification|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,1203|Order_Preparation|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,1325|Customer_Order_Distribution|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,16|Fallout_Automated_Correction|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,172|Customer_Order_Reporting|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,174|Customer_Order_Error_Resolution_Support|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,175|Customer_Support_Jeopardy_Notification|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,178|Customer_Order_Administration|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,17|Fallout_Correction_Information_Collection|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,18|Fallout_Management_to_Fulfillment_Application_Accessing|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,19|Fallout_Manual_Correction_Queuing|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,208|Customer_Order_Change_Management|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,209|Customer_Order_Cancellation|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,20|Fallout_Notification|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,211|Customer_Order_Activity_Supervision|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,212|Customer_Order_Versioning|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,213|Pending_Customer_Order_Manteinance|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,214|Customer_Order_Orchestration|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,215|Retro-active_order_orchestration|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,217Customer_Order_Establishment_Tracking|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,21|Fallout_Orchestration|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,22|Fallout_Reporting|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,23|Fallout_Dashboard_System_Log-in_Accessing|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,24|Pre-populated_Fallout_Information_Presentation|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,716|Order-Data_Enrichment|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,716|Order_Data_Enrichment|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,717|Calculated-Order-Data_Enrichment|v23.0
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,CoreCommerce,functionalFrameworkFunctions,718|Customer_Order_Validation|v23.0
