component,name,componentVersion,description,publicationDate,status,functionalBlock
TMFC001,ProductCatalogManagement,2.1.0,The Product Catalog Management ODA Component is responsible for organizing the collection of Products and Product Offerings specifications that identify and define all requirements of a product or a product offering that can be commercialized.,2024-11-12 00:00:00,specified,CoreCommerce
TMFC002,ProductOrderCaptureAndValidation,2.1.0,"Addresses the means of capturing what a customer wants to order, based on the CSP Product Catalog. This component permits to choose the configuration of the product offerings and products desired, to provide a quote, to check the eligibility of the customer order, and to complete it with information needed such as the related parties or associated the billing account and the delivery appointment if needed. This component is globally in charge of these quote management, order capture and validation steps, using dedicated components (e.g., Offering Configurator, Service Qualification, Party Mgt) when needed. After the delivery of the customer product order items, this component is also in charge of the commercial closure of the order. It includes update of the Product Inventory (status and starting/end date of tariffs and discounts) and potential commercial rules control (e.g. receipt of the contract document signed by the customer)",2024-11-12 00:00:00,specified,CoreCommerce
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,1.1.1,"This component is in charge of the orchestration of the delivery of Product Orders (status accepted). Based on the Product specification level of information available in the Product Catalog (ex: prerequisite links between product specifications, links between product and CFS specifications, ...): it determines in which order the product specification level order items need to be delivered, and to which CFS (or Resource) specification each ordered product corresponds, and prepares and addresses each related service (or resource) order to the production system in charge. During the delivery process execution, this component is in charge of the evolution of the status of the product specification level order items, and of the related product items . So, it triggers the updates of the related inventories.",2023-08-18 00:00:00,specified,CoreCommerce
TMFC005,ProductInventory,1.2.0,"Product  Inventory component is responsible for storage and exposure of products that are assigned to and used by Parties. Product Inventory component has functionality that enables inventory items creation, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing. The minimum check to be performed at inventory items creation or update is the global consistency with related Product Catalog information.",2024-06-27 00:00:00,specified,CoreCommerce
TMFC006,ServiceCatalogManagement,1.2.0,"	Service Catalog Management component is responsible for organizing the collection of service specifications that identify and define all requirements of a service that can be performed. Service Catalog Management component has the functionality that enable present a customer-facing view so users are able to search and select services they need, as well as a technical view to enable define and setup what's needed to deliver service specifications (Customer Facing Service Specifications (CFSSs) and Resource Facing Service Specifications (RFSSs)) contained in the service catalog. Service Catalog Management component has functionalities that include creation of new service specifications, managing service specifications, administering the lifecycle of services, describing relationships between service specification attributes, reporting on service specification and their changes, and facilitating easy and systematic indexing and access to services, as well as facilitate automating the service delivery process.",2024-11-12 00:00:00,specified,Production
TMFC007,ServiceOrderManagement,2.0.0,"The SOM is the entry point of the Production Domain. It oversees Customer-Facing-Service (CFS) delivery of resources (network and service platforms equipment). The SOM exposes in particular the API ServiceOrder. It is triggered when the Product Order Orchestration Management component calls this API to request CFS delivery. To achieve delivery of a CFS, the SOM orchestrates the CFS delivery process which. Identifies possible RFS and chooses one, using the catalog and technical inventory. Selects the resources (servers, equipment, etc.) and their instances. Requests the ROM to update selected resource instances to deliver CFS. Request sent to the ROM contain the CFS and the list of configured resource instances to update.",2024-02-23,specified,Production
TMFC008,ServiceInventory,1.2.0,"Service Inventory component is responsible for storage and exposure of CFS (Customer Facing Service) that are associated to Product Inventory items. It is also responsible for RFS (Resource Facing Service) definition, mapping between CFS and RFS and mapping with infrastructure/network resources. Service Inventory component has functionality that enables inventory items creation, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing.The minimum check to be performed at inventory items creation or update is the global consistency with related Service Catalog information.",2024-11-12 00:00:00,specified,Production
TMFC009,ServiceQualificationManagement,1.1.0,"Service Qualification component is responsible for checking and validating the availability of a service according to specified and configured business rules. It must identify at least one technical solution (RFSspec) available to deliver the service (CFSspec) and check the availability of all the resources types involved in this technical solution. No resources are allocated during Service Qualification. Service Qualification component has functionality that include checking service feasibility status and publishing or reporting service qualification result, but also calculated service delivery due date and identified need of an appointment at the customer site. Service Qualification can also be in charge of the cost calculation of the technical solution identified, when it cannot be determined at catalog design time (complex B2B services). This information will be used as an input to price calculation.",2023-08-18 00:00:00,specified,Production
TMFC010,ResourceCatalogManagement,1.3.0,"Resource Catalog Management component is responsible for organizing the collection resource specifications that identify and define all requirements for a resource. Resource Catalog Management component has the functionality that enable presenting a customer-facing view, so users are able to browse and select resource they need, as well as a technical view to enable define and setup resources contained in the resource catalog. Additional functionalities include capturing specifications of new resource specifications, managing resources (registering assets and components and identifying and mapping connections/relationships), administering the lifecycle of resources, describing relationships between resources, reporting on resources and changes to their attributes, and facilitating easy access to identify and assign resources.",2024-12-03 00:00:00,specified,Production
TMFC011,ResourceOrderManagement,1.1.0,"Resource Order Management Component manages the end-to-end lifecycle of a resource  order request. This includes validating resource availability as well as the  resource order request. Other functionality includes resource order assurance,  resource order decomposition and resource order tracking, along with orchestrating  the activation and the test and turn-up processes.",,Pre-production,Production
